x	y	yield
413045.6537	7939743.938	32.13897776
412987.1063	7939744.001	87.59524782
413030.8843	7939744.092	46.66808129
413053.3528	7939744.306	69.63445181
413028.984	7939744.415	111.2255937
413036.3682	7939744.449	117.6424549
413051.4529	7939744.518	71.62400758
413042.485	7939744.809	101.6286594
413024.7604	7939745.281	50.15477702
413016.9533	7939745.466	81.38458078
413013.4711	7939745.672	62.22410839
413000.4956	7939745.723	129.4341229
413045.434	7939745.819	102.0885176
413009.0391	7939745.983	55.61279687
413005.346	7939746.187	128.3372235
412982.0326	7939746.191	80.66911194
413040.579	7939746.349	96.41693328
412993.4243	7939746.465	141.9013203
413021.5896	7939746.594	83.47136491
412993.7393	7939746.798	132.840284
412974.4339	7939746.93	50.08281894
412974.1165	7939747.15	119.3311026
412977.3835	7939747.829	45.9092507
413002.9122	7939747.836	81.38458078
413036.4574	7939747.99	114.8923716
413032.7628	7939748.527	41.39910437
413049.5354	7939748.604	30.67811513
413017.4655	7939748.788	125.6635314
412982.8643	7939748.85	106.4259903
412986.5564	7939748.867	96.5271425
412996.2613	7939748.912	133.8217203
412976.851	7939748.933	104.0572083
413051.2216	7939748.943	47.03265038
413007.1266	7939748.962	78.42830328
413046.3682	7939749.142	40.1737222
413026.9578	7939749.164	31.68820334
413031.0719	7939749.183	156.3648931
413057.443	7939749.525	116.1947657
413008.9168	7939749.634	98.07885377
413038.5595	7939749.66	99.09518142
413020.0986	7939749.685	106.9476863
413024.2116	7939749.926	100.1656379
413039.6119	7939750.218	56.24321108
413034.7589	7939750.306	41.48273892
413046.6791	7939750.361	121.1392239
412969.9871	7939750.451	126.1982698
412996.3592	7939750.572	139.5948747
413005.2202	7939750.613	59.23256471
413009.4397	7939750.632	65.42681985
413001.5275	7939750.707	87.59524782
413041.4001	7939751.333	45.37267448
412990.2367	7939751.429	96.81580022
413032.7485	7939751.625	120.2438851
412998.8857	7939751.69	177.3766504
413011.8608	7939751.75	131.4673997
412972.5122	7939751.901	98.07885377
412931.6867	7939752.045	36.66777816
413058.5896	7939752.518	36.15634998
413063.231	7939752.54	44.50012305
412925.0384	7939752.568	51.33488942
413051.0994	7939752.594	105.182109
412977.2556	7939752.697	136.8930384
412970.7148	7939752.778	54.0367257
413004.2606	7939752.822	117.0795724
412933.0535	7939753.047	51.33488942
412984.2163	7939753.061	92.89170466
413061.4352	7939753.085	55.09539044
412992.6554	7939753.1	116.2713307
412929.2554	7939753.141	60.279605
413040.8635	7939753.322	67.84895305
412926.0898	7939753.347	85.55814903
413053.7331	7939753.381	75.25224061
412987.8014	7939753.41	117.9315027
413017.1271	7939753.545	85.55814903
412925.8778	7939753.568	146.6711126
413045.6089	7939753.676	53.28304207
413035.5865	7939753.851	98.88916233
412982.8399	7939754.162	127.2403242
413013.4314	7939754.302	124.6704457
412979.3577	7939754.367	135.640968
413016.2787	7939754.537	91.07802961
413023.1353	7939754.568	70.00212193
