Longitude,Latitude,Deep
-84.748751,31.172154,7.5
-84.748721,31.17216,7.4
-84.748691,31.172166,8.3
-84.748661,31.172172,8.3
-84.74863,31.172178,7.4
-84.748599,31.172183,6.9
-84.748569,31.172188,9.5
-84.748537,31.172193,12.5
-84.748507,31.172199,11.3
-84.748476,31.172204,12.4
-84.748445,31.17221,13.4
-84.748415,31.172217,10.8
-84.748384,31.172222,9.7
-84.748353,31.172228,12.5
-84.748322,31.172234,10.7
-84.748291,31.17224,12.7
-84.74826,31.172246,14.3
-84.748229,31.172252,12
-84.748198,31.172258,11.2
-84.748167,31.172264,11.8
-84.748136,31.17227,11.8
-84.748105,31.172275,10
-84.748075,31.172281,8.6
-84.748044,31.172287,8.6
-84.748013,31.172292,7.9
-84.747982,31.172298,7.2
-84.747951,31.172303,5.3
-84.74792,31.172308,6.8
-84.747889,31.172314,6.6
-84.74786,31.17232,5.3
-84.747834,31.172324,4.8
-84.747813,31.172327,6.3
-84.747796,31.172329,7.1
-84.747781,31.172332,5
-84.747767,31.172336,5.5
-84.747751,31.172341,6.1
-84.747734,31.172344,3.3
-84.747752,31.172472,5.6
-84.747771,31.172469,8.8
-84.747785,31.172466,8.8
-84.747802,31.172463,9.4
-84.747825,31.172459,8.2
-84.747851,31.172456,8
-84.747879,31.172451,10.5
-84.747908,31.172446,12.9
-84.747939,31.172439,15.4
-84.747971,31.172433,14.4
-84.748006,31.172426,11.7
-84.74804,31.17242,12
-84.748074,31.172414,12.2
-84.748107,31.172407,12.6
-84.74814,31.172401,13.9
-84.748172,31.172394,14.1
-84.748203,31.172389,17.4
-84.748234,31.172383,18.9
-84.748265,31.172376,18.8
-84.748296,31.17237,18.1
-84.748327,31.172364,20.3
-84.748359,31.172359,21.6
-84.74839,31.172354,20.8
-84.748422,31.172348,19.6
-84.748454,31.172342,17.5
-84.748486,31.172336,16.1
-84.748517,31.17233,14.2
-84.748548,31.172324,14.3
-84.74858,31.172318,15.6
-84.748611,31.172311,16.3
-84.748642,31.172304,16.3
-84.748673,31.172298,20
-84.748704,31.172293,21
-84.748736,31.172287,16.8
-84.748767,31.172282,20.9
-84.748799,31.172275,22.1
-84.74883,31.172269,17.7
-84.748861,31.172264,15.6
-84.748892,31.172257,21.5
-84.748923,31.172251,22.2
