Easting[m], Northing[m], CH-1.0m
669879.979,5856562.099,5.246
669880.218,5856562.473,5.636
669880.423,5856562.796,5.597
669880.612,5856563.092,5.754
669880.83,5856563.433,5.715
669881.034,5856563.756,5.324
669881.238,5856564.092,5.363
669881.472,5856564.479,5.48
669881.615,5856564.715,5.636
669881.799,5856565.018,5.949
669882.014,5856565.373,6.261
669882.223,5856565.721,5.949
669882.407,5856566.03,5.402
669882.88,5856566.821,5.441
669883.03,5856567.072,5.597
669883.239,5856567.453,5.676
669883.415,5856567.801,5.636
669883.602,5856568.169,5.676
669883.808,5856568.576,5.519
669883.981,5856568.918,5.051
669884.163,5856569.294,5.129
669884.34,5856569.666,5.168
669884.491,5856569.984,4.933
669884.642,5856570.304,4.777
669884.83,5856570.699,4.699
669885.017,5856571.044,3.84
669885.212,5856571.346,4.113
669885.66,5856572.041,4.621
669885.858,5856572.349,4.426
669886.074,5856572.687,4.699
669886.246,5856572.984,4.699
669886.457,5856573.351,4.504
669886.657,5856573.696,4.933
669886.838,5856574.01,4.738
669887.056,5856574.388,4.582
669887.252,5856574.707,4.113
669887.463,5856575.044,4.074
669887.659,5856575.357,4.23
669887.87,5856575.694,4.504
669888.066,5856576.007,4.465
669888.278,5856576.364,4.543
669888.441,5856576.659,4.269
669888.642,5856577.019,4.543
669888.863,5856577.415,4.23
669889.032,5856577.719,4.426
669889.241,5856578.103,4.074
669889.447,5856578.541,4.035
669889.562,5856578.786,4.191
669889.748,5856579.181,4.426
669889.919,5856579.545,6.301
669890.058,5856579.84,5.832
669890.299,5856580.222,5.129
669890.521,5856580.541,4.894
669890.771,5856580.9,4.621
669891.063,5856581.318,4.582
669891.302,5856581.662,4.386
669891.536,5856582.018,4.543
669891.753,5856582.376,4.777
669891.943,5856582.689,4.855
669892.16,5856583.047,4.738
669892.376,5856583.403,5.168
669892.607,5856583.787,5.168
669892.82,5856584.152,5.285
669893.059,5856584.563,5.715
669893.273,5856584.931,5.246
669893.525,5856585.364,5.051
669893.776,5856585.776,4.699
669893.957,5856586.053,4.894
669894.182,5856586.397,5.441
669894.402,5856586.735,5.285
669894.645,5856587.106,5.558
669894.881,5856587.468,5.597
669895.054,5856587.8,5.636
669895.226,5856588.138,5.91
669895.405,5856588.49,5.363
669895.604,5856588.88,5.285
669895.758,5856589.183,4.426
669895.986,5856589.543,4.777
669896.239,5856589.9,4.699
669896.441,5856590.185,4.66
669896.631,5856590.453,4.777
669896.855,5856590.769,5.207
669897.098,5856591.128,5.168
669897.308,5856591.467,6.613
669897.512,5856591.795,6.496
669897.714,5856592.121,6.34
669897.907,5856592.432,6.691
669898.121,5856592.777,6.457
669898.353,5856593.183,6.418
669898.534,5856593.503,6.301
669898.754,5856593.89,6.105
669898.941,5856594.22,6.222
669899.196,5856594.671,5.754
669899.36,5856594.963,5.91
669899.549,5856595.304,5.09
669899.754,5856595.674,4.738
669899.985,5856596.089,5.129
669900.164,5856596.411,5.402
669900.595,5856597.169,5.558
669900.785,5856597.5,5.48
669901.001,5856597.878,6.222
669901.225,5856598.268,6.027
669901.404,5856598.58,5.636
669901.598,5856598.944,5.754
669901.836,5856599.388,5.793
669902.045,5856599.781,5.676
669902.263,5856600.188,5.676
669902.443,5856600.532,6.379
669902.63,5856600.913,5.91
669902.779,5856601.216,5.988
669902.928,5856601.52,5.871
669903.105,5856601.88,5.754
669903.258,5856602.192,5.676
669903.431,5856602.521,5.949
669903.621,5856602.881,5.871
669903.774,5856603.17,6.027
669903.965,5856603.531,6.183
669904.125,5856603.834,5.871
669904.322,5856604.218,6.183
669904.451,5856604.476,6.105
669904.649,5856604.871,5.832
669904.788,5856605.149,6.808
669904.985,5856605.541,6.574
669905.118,5856605.796,6.144
669905.339,5856606.168,5.558
669905.535,5856606.498,6.027
669905.733,5856606.831,6.066
669905.92,5856607.147,5.949
669906.103,5856607.456,6.105
669906.302,5856607.835,6.691
669906.496,5856608.214,6.808
669906.662,5856608.539,6.535
669906.846,5856608.9,6.144
669907.035,5856609.269,6.965
669907.205,5856609.58,7.199
669907.416,5856609.954,6.34
669907.608,5856610.292,6.535
669907.784,5856610.602,6.027
669907.976,5856610.942,5.871
669908.179,5856611.314,5.715
669908.394,5856611.747,5.636
669908.529,5856612.02,5.793
669908.682,5856612.327,5.715
669908.856,5856612.679,5.91
669909.056,5856613.081,6.105
669909.258,5856613.444,5.832
669909.461,5856613.808,5.754
669909.64,5856614.131,5.597
669909.856,5856614.519,6.183
669910.065,5856614.895,6.261
669910.244,5856615.242,6.027
