sampling_poin_no,Latitude,Longitude,K,P,NO3,SO4,CaCO3
614,33.1153,73.0149,101.98,4.24,8.13,6.77,9.19
621,33.1153,73.0171,107.8,6.34,10.56,9.47,8.14
623,33.1153,73.0178,123.67,7.74,9.22,9.15,10.14
628,33.1149,73.0101,110.5,6.65,11.12,6.35,10.71
631,33.115,73.0114,113.23,4.67,9.57,7.12,9.32
632,33.115,73.0117,109,4.67,9.34,7.85,8.56
639,33.115,73.0146,122.98,6.03,5.18,7.19,6.45
640,33.115,73.0149,101.5,4.34,8.23,8.94,8.16
646,33.115,73.0168,102.6,5.23,8.8,9.37,9.86
654,33.1147,73.0104,171.9,7.75,9.01,8.43,8.79
659,33.1147,73.0139,123.98,5.13,5.15,5.15,9.74
669,33.1148,73.0171,151.44,6.13,8.9,9.43,8.1
671,33.1148,73.0178,123.78,6.87,6.62,10.54,5.98
673,33.1148,73.0184,129.09,5.17,7.67,11.37,10.35
676,33.1148,73.0194,111.09,6.33,9.07,4.87,8
680,33.1144,73.013,121.1,6.45,7.78,10.36,7.97
685,33.1144,73.0147,97.5,6.78,9.87,13.46,8.24
687,33.1145,73.0152,96.7,7.67,9.23,14.57,9.37
689,33.1145,73.0159,113.67,7.54,9.32,9.23,9.19
692,33.1145,73.0168,114.76,7.12,9.94,7.56,8.39
694,33.1145,73.0175,104.98,5.45,7.45,8.32,9.14
695,33.1145,73.0178,109.2,7.89,10.54,7.19,9.55
700,33.1145,73.0194,119.19,6.09,7.92,10.02,8.3
701,33.1141,73.0104,110.76,7.36,11.68,10.17,9.36
707,33.1142,73.0139,122.87,6.86,5.43,8.34,6
716,33.1142,73.0168,108.3,8.3,10.11,9.34,8.57
717,33.1142,73.0172,157.78,6.74,7.63,8.73,9.57
720,33.1143,73.0181,113.4,5.12,11.45,10.27,8.18
721,33.1143,73.0184,118.6,6.38,7.53,9.87,10.14
730,33.1139,73.0136,125,4.4,11.56,10.48,10.7
735,33.1139,73.0152,121.5,4.7,11.76,18,8.59
736,33.1139,73.0156,127.4,8,9,5.23,10.55
741,33.114,73.0172,110.98,6.43,9.07,4.34,8.67
744,33.114,73.0181,118.74,6.53,7.96,5.51,8.35
746,33.114,73.0191,107.93,5.4,8.17,7.68,9.15
748,33.1136,73.0104,112.33,7.66,10.05,9.13,8.25
749,33.1136,73.0107,115.34,10.2,8.6,6.45,9.35
