LONGITUDE	LATITUDE
-54,005726859	-25,408720303
-54,005739839	-25,408713596
-54,005752215	-25,408707094
-54,005764564	-25,408700726
-54,005777436	-25,408694728
-54,00579033	-25,408688029
-54,005803033	-25,408681338
-54,005815735	-25,408674574
-54,005828487	-25,408668016
-54,005841064	-25,408662094
-54,005853194	-25,408655989
-54,005866018	-25,408649488
-54,005878395	-25,408643016
-54,005890481	-25,408637772
-54,005902941	-25,408631972
-54,005914662	-25,408626328
-54,005927708	-25,408620147
-54,005941819	-25,408613527
-54,005954296	-25,408606391
-54,0059667	-25,408600911
-54,005980141	-25,408595181
-54,005993312	-25,408589801
-54,006005898	-25,40858402
-54,006018135	-25,408579034
-54,006030683	-25,408573421
-54,006043622	-25,40856713
-54,006055797	-25,408563669
-54,006068891	-25,408560824
-54,006081055	-25,408556649
-54,006092111	-25,408551466
-54,006103377	-25,408544922
-54,006115532	-25,408539197
-54,006128575	-25,408533091
-54,00614053	-25,408527776
-54,006153437	-25,408522276
-54,006164967	-25,408516863
-54,006176595	-25,408511163
-54,006188582	-25,408505606
-54,006200904	-25,40850027
-54,006215909	-25,40849389
-54,006225382	-25,408491061
-54,006236981	-25,408484179
-54,006249241	-25,408479425
-54,006262029	-25,408473946
-54,00627482	-25,408467615
-54,006286854	-25,408462102
-54,006300314	-25,408455344
-54,006313408	-25,408449644
-54,006326826	-25,408444045
-54,006340502	-25,408438016
-54,006353953	-25,40843293
-54,006368077	-25,408427912
-54,006380473	-25,408425156
-54,006396191	-25,408421322
-54,006408984	-25,408415076
-54,006423225	-25,408410266
-54,006435687	-25,408403189
-54,006448142	-25,408397073
-54,006458848	-25,408388472
-54,006471525	-25,40838155
-54,006483759	-25,408373983
-54,006494314	-25,40836822
-54,006505248	-25,408363089
-54,006517614	-25,40835787
-54,006529881	-25,408351546
-54,00654101	-25,408347069
-54,00655271	-25,408343217
-54,006563652	-25,408338305
-54,006575613	-25,40832802
-54,00658836	-25,408320739
-54,006599104	-25,408317438
-54,006610346	-25,408313067
-54,006621334	-25,408307266
-54,00663282	-25,408301165
-54,006646148	-25,408296182
-54,006658645	-25,408289633
-54,006670706	-25,408283989
-54,006682331	-25,408279237
-54,006695632	-25,4082748
-54,006707554	-25,408268459
-54,006716614	-25,408259006
-54,006720777	-25,408246483
-54,00672198	-25,408233367
-54,006711187	-25,408224941
-54,006700373	-25,408218878
-54,006692376	-25,408210718
-54,006682721	-25,408202467
-54,006674583	-25,408193787
-54,006662302	-25,408188319
-54,006660429	-25,408189414
-54,006652426	-25,408180351
-54,006643816	-25,40817084
-54,006632185	-25,408162573
-54,006614028	-25,408145979
-54,006606032	-25,408135971
-54,006598568	-25,408125842
-54,006592108	-25,408114944
-54,006585876	-25,408105116
-54,006578124	-25,408095521
-54,006570702	-25,40808555
-54,006564236	-25,408075748
-54,006558098	-25,408065556
-54,006551475	-25,40805546
-54,006544431	-25,408044785
-54,006538215	-25,408034416
-54,006532113	-25,408023852
-54,006526445	-25,408014116
-54,006520498	-25,408003458
-54,006514023	-25,407994248
-54,006506956	-25,407983182
-54,006500559	-25,407972427
-54,006494563	-25,40796193
-54,006489793	-25,407951802
-54,00648321	-25,407941824
-54,006476523	-25,407930985
-54,006471011	-25,407920001
-54,006464228	-25,407910134
-54,006457008	-25,407899347
-54,006451229	-25,407887809
-54,006445819	-25,407877333
-54,006439848	-25,40786665
-54,006432693	-25,407856547
-54,006426167	-25,407844896
-54,006419633	-25,40783344
-54,006413078	-25,40782248
-54,006405398	-25,407812384
-54,006399007	-25,407800131
-54,006392809	-25,407789239
-54,006386974	-25,407777598
-54,00638134	-25,407765654
-54,006375643	-25,407754456
-54,006370304	-25,407743302
-54,006364984	-25,40773158
-54,006359673	-25,407720687
-54,006353249	-25,407709998
-54,006346225	-25,407698911
-54,006339126	-25,407688138
-54,006333629	-25,407676782
-54,006327051	-25,407665138
-54,006319999	-25,407653643
-54,006313439	-25,407642864
-54,006307069	-25,407632825
-54,006300361	-25,407622023
-54,006293821	-25,407611147
-54,006288551	-25,407600501
-54,006283694	-25,407590437
-54,006277029	-25,407579991
-54,006269657	-25,407568909
-54,006261366	-25,40755786
-54,006254017	-25,407546483
-54,006245632	-25,407533846
-54,006239193	-25,407522577
-54,006233431	-25,407511374
-54,006226036	-25,407500074
-54,006218929	-25,40748864
-54,006213198	-25,407476919
-54,006206518	-25,40746548
-54,006198993	-25,407453999
-54,006191878	-25,407442185
-54,006185225	-25,407429679
-54,006178355	-25,40741779
-54,006170849	-25,407405478
-54,006164762	-25,407393129
-54,006158162	-25,407382148
-54,006151718	-25,407370043
-54,006145374	-25,407358688
-54,006138456	-25,407347399
-54,006131616	-25,407335861
-54,006124937	-25,407323629
-54,006117594	-25,407311735
-54,006111833	-25,407299016
-54,006107039	-25,407286674
-54,006101796	-25,407274875
-54,006095278	-25,407263102
-54,006088507	-25,407251334
-54,00608205	-25,407240418
-54,006074716	-25,407229299
-54,006068031	-25,407218041
-54,006062135	-25,407206792
-54,006048392	-25,40718485
-54,006041477	-25,40717417
-54,006034956	-25,407163734
-54,006028384	-25,407153086
-54,0060221	-25,407142757
-54,006015256	-25,407132493
-54,006008731	-25,407121705
-54,006001888	-25,407111323
-54,005994917	-25,407100986
-54,005989158	-25,407092106
-54,005983014	-25,40708183
-54,005976747	-25,407070412
-54,005970539	-25,407059508
-54,005964258	-25,40704787
-54,005957832	-25,40703651
-54,005951619	-25,407025535
-54,005945117	-25,407014534
-54,005937074	-25,407003074
-54,00593025	-25,40699064
-54,005924174	-25,406978552
-54,005917691	-25,406966577
-54,005911732	-25,406955345
-54,005905432	-25,406943629
-54,005899565	-25,406931937
-54,005894327	-25,406920789
-54,005888035	-25,406909629
-54,005880635	-25,406897963
-54,0058742	-25,406885569
-54,00586828	-25,406872836
-54,005862931	-25,406860798
-54,005857419	-25,406849481
-54,005852129	-25,406837405
-54,005846402	-25,406825036
-54,005840183	-25,406813327
-54,005834035	-25,406802319
-54,005827778	-25,406790835
-54,005820944	-25,406778812
-54,005814323	-25,4067675
-54,005806672	-25,406755859
-54,005798372	-25,406745162
-54,005791288	-25,406732859
-54,005784156	-25,406720945
-54,005777611	-25,406708633
-54,005771248	-25,406696228
-54,005764135	-25,406685283
-54,00575855	-25,406673847
-54,005752611	-25,406660448
-54,005744749	-25,406648872
-54,00573719	-25,406636614
-54,005730739	-25,406624177
-54,00572387	-25,406611667
-54,005717088	-25,406599104
-54,005710196	-25,406586947
-54,005702941	-25,40657527
-54,005695079	-25,406563304
-54,005688473	-25,406550829
-54,005682167	-25,406538322
-54,005675641	-25,406527348
-54,005669665	-25,406514978
-54,005662324	-25,406503675
-54,005653797	-25,406492401
-54,005647275	-25,406480379
-54,005633871	-25,406455926
-54,005626656	-25,40644397
-54,005619734	-25,406431955
-54,005612768	-25,406419832
-54,005605181	-25,406408412
-54,005595504	-25,406396336
-54,005588108	-25,406384733
-54,005581442	-25,406372671
-54,005574939	-25,406361662
-54,005567191	-25,406350582
-54,005559184	-25,406339585
-54,005551024	-25,406329159
-54,005543987	-25,40631885
-54,005536736	-25,406307594
-54,005528835	-25,406296634
-54,005521811	-25,40628634
-54,005512859	-25,406277301
-54,005501902	-25,406269088
-54,005491112	-25,406259378
-54,005479709	-25,406249848
-54,005468537	-25,406240535
-54,005458394	-25,406231782
-54,005447895	-25,406224201
-54,005436804	-25,406216972
-54,005425583	-25,406209605
-54,005415443	-25,40620265
-54,005404826	-25,406196477
-54,005394348	-25,406191714
-54,005381492	-25,406187543
-54,00537089	-25,406183479
-54,005358606	-25,406181065
-54,00534732	-25,406178978
-54,005335779	-25,406177553
-54,005323375	-25,406176953
-54,005309572	-25,406178369
-54,005297385	-25,406180343
-54,0052847	-25,406182909
-54,005271144	-25,406185478
-54,005257941	-25,406189672
-54,005244557	-25,406195555
-54,005231694	-25,406200652
-54,005218518	-25,406205635
-54,005205814	-25,406211296
-54,005192751	-25,406217632
-54,005180019	-25,406222603
-54,005167697	-25,406228432
-54,005155391	-25,406234561
-54,005142328	-25,40624113
-54,005129329	-25,406246724
-54,00511627	-25,406253276
-54,005103714	-25,406260455
-54,005091337	-25,406267515
-54,005078926	-25,406274352
-54,005066559	-25,406280847
-54,005055206	-25,406287578
-54,005045145	-25,406290889
-54,005033553	-25,406298007
-54,005022117	-25,406302071
-54,005011634	-25,406302769
-54,005000562	-25,406306529
-54,004988762	-25,40631246
-54,004975181	-25,406321368
-54,004947827	-25,406334052
-54,004933797	-25,406341392
-54,004921346	-25,40634678
-54,004908651	-25,406352266
-54,00489564	-25,406358362
-54,004882609	-25,406365335
-54,00487102	-25,406372306
-54,004857824	-25,406377903
