Longitude,Latitude,DeepEca
-84.8925784,31.0351033,2
-84.8925734,31.0351033,3.4
-84.8925551,31.0351,1.8
-84.8925399,31.0350966,1.5
-84.8925101,31.0350916,1
-84.8924234,31.0350766,1.4
-84.8924018,31.035075,1.3
-84.8923768,31.0350733,1.2
-84.8923518,31.0350716,1.2
-84.8923266,31.0350716,1.1
-84.8923,31.0350716,1.1
-84.892275,31.0350716,1
-84.8922484,31.03507,1.1
-84.8922199,31.03507,0.9
-84.8921918,31.0350683,0.9
-84.8921634,31.0350666,1
-84.892135,31.035065,1.4
-84.89208,31.0350633,0.8
-84.892055,31.0350616,0.8
-84.8920368,31.03506,0.9
-84.8926468,31.0351349,4.2
-84.8926334,31.0351366,3
-84.8926183,31.03514,2.5
-84.8925899,31.03515,2.8
-84.8925766,31.0351566,2.4
-84.8925668,31.035165,1.6
-84.8925568,31.035175,0.4
-84.8925501,31.0351849,1.8
-84.8925418,31.0352033,2.6
-84.8925384,31.0352166,3.1
-84.8925333,31.0352283,2.9
-84.8925284,31.0352416,3.2
-84.8925218,31.0352566,7.7
-84.8925151,31.0352716,5.5
-84.8925068,31.0352883,5.2
-84.8924984,31.0353033,6.5
-84.8924901,31.0353183,5.7
-84.8924784,31.035335,3.4
-84.8924668,31.0353516,3.9
-84.8924534,31.0353666,4.3
-84.8924384,31.0353816,3.1
-84.8924234,31.035395,2.9
-84.8924066,31.0354083,2.5
-84.8923868,31.0354233,2.8
-84.8923668,31.0354366,2.5
-84.8923484,31.0354516,3
-84.8923266,31.0354666,2.8
-84.8923034,31.035485,3.4
-84.8922784,31.0355033,5.2
-84.8922266,31.0355383,6.2
-84.8922001,31.035555,8.6
-84.892175,31.0355716,5.8
-84.8921484,31.0355866,6.5
-84.89212,31.0356033,4.4
-84.892095,31.0356199,6
-84.8920684,31.0356349,6.8
-84.8920402,31.0356516,5.5
-84.8920135,31.0356683,6.8
-84.8919868,31.035685,6
-84.8919618,31.0357016,9.4
-84.8919351,31.03572,11.1
-84.8919083,31.0357366,8.3
-84.8918833,31.035755,5.3
-84.8918584,31.0357716,8.4
-84.8918316,31.0357883,7.5
-84.8918084,31.035805,6.5
-84.8917816,31.0358233,11.3
-84.8917584,31.0358416,10.8
-84.891735,31.0358616,11.1
-84.8917102,31.0358816,12.5
-84.8916868,31.0358999,12.6
-84.8916618,31.0359183,9.7
-84.8916385,31.0359366,10.1
-84.8916134,31.0359566,7.6
-84.8915901,31.035975,10.1
-84.8915668,31.035995,8
-84.8915433,31.0360133,7.9
-84.8915199,31.0360333,8.2
-84.8914968,31.0360533,6.4
-84.8914734,31.0360733,6.5
-84.8914501,31.0360933,5.4
-84.8914266,31.0361116,8
-84.8914032,31.0361316,7.9
-84.8913784,31.0361516,6.4
-84.8913568,31.0361716,5.6
-84.8913334,31.0361916,5.2
-84.8913116,31.0362116,5
-84.8912899,31.0362316,6.1
-84.8912668,31.0362516,6.6
-84.891245,31.0362716,5.4
-84.8912218,31.0362916,3.8
-84.8911984,31.0363116,3.2
-84.8911766,31.0363316,1.8
-84.8911534,31.0363516,2.9
-84.8911301,31.0363716,3.7
-84.891105,31.03639,3.3
-84.8910818,31.03641,4
-84.8910584,31.0364283,4.6
-84.8910368,31.0364483,3.2
-84.8910149,31.0364683,3.8
-84.8909934,31.03649,4
-84.8909702,31.0365133,4.1
-84.8909468,31.0365383,4.6
-84.8909234,31.036565,5.8
-84.8909,31.03659,5.2
-84.8908784,31.0366166,5.9
-84.8908534,31.0366416,4.8
-84.8908319,31.0366683,5
-84.8908066,31.0366933,4.9
-84.8907818,31.0367183,4.9
-84.8907568,31.0367433,4.9
-84.8907333,31.0367683,4.5
-84.8907101,31.0367916,4.1
-84.8906868,31.0368183,4.3
-84.8906649,31.0368433,4.5
-84.8906418,31.0368699,3.8
-84.8906219,31.0368966,4.5
-84.8906018,31.0369233,5.9
-84.8905818,31.0369516,11.9
-84.8905618,31.0369783,9.1
-84.8905401,31.037005,8.4
-84.89052,31.0370316,11.1
-84.8904999,31.0370583,7.4
-84.8904784,31.0370866,9.6
-84.8904566,31.0371133,9.6
-84.8904368,31.03714,6.9
-84.8904151,31.0371666,6
-84.8903949,31.0371933,7.4
-84.8903751,31.0372216,7.4
-84.8903568,31.0372499,6.9
-84.8903399,31.03728,5.6
-84.890325,31.03731,5.3
-84.8903134,31.03734,5.6
-84.8903034,31.0373733,5.6
-84.890295,31.037405,6
-84.8902884,31.0374383,6.1
-84.8902884,31.0374699,6.3
-84.8902916,31.0375016,6
-84.8903,31.0375316,6
-84.8903116,31.03756,5.8
-84.8903316,31.0375866,5.4
-84.890355,31.0376083,5.1
-84.8903818,31.037625,4.6
-84.8904134,31.03764,4.5
-84.8904468,31.0376483,4.3
-84.89048,31.037655,3.9
-84.8905151,31.03766,4.1
-84.8905499,31.037665,4.4
