X Location,Y Location,EC_SH,EC_DP,ELEV_Ft
-86.1467,31.2789233,2.6,2.8,76
-86.1465566,31.2789167,5.7,4.8,75.3
-86.146525,31.2789217,7.4,6.3,75
-86.1464933,31.278925,6.4,6.2,74.8
-86.1464583,31.278925,6.2,5.2,74.8
-86.1464216,31.27892,9.3,5.8,74.8
-86.1463833,31.2789117,8.1,6.2,74.6
-86.1463466,31.2789017,5.3,4.8,74
-86.1463066,31.278895,6.1,5,73.6
-86.1462666,31.2788917,6.3,4.8,73.3
-86.146225,31.2788883,6.6,4.6,73.1
-86.146185,31.278885,8.1,5.3,72.9
-86.1461433,31.2788816,6.9,5.3,72.6
-86.146105,31.2788783,5.2,4.3,72.6
-86.1458983,31.2788617,2.7,2.7,72.3
-86.1458549,31.2788566,3.3,3.4,72
-86.1452583,31.278815,5.4,4.2,70.2
-86.1452066,31.2788117,4.3,3.8,70
-86.1451566,31.2788066,4.1,3.7,69.9
-86.1451083,31.2788033,4.3,4.1,69.7
-86.1448366,31.2787833,3.6,3.5,69
-86.1448,31.2787817,4.7,4.7,68.7
-86.1447666,31.2787783,4.9,4.6,68.5
-86.1447366,31.2787767,3.8,4.1,68.4
-86.1447166,31.278775,4.7,4.1,68.3
-86.1447033,31.2787733,4,4,68.3
-86.1446966,31.2787733,3.7,4.1,68.3
-86.1446916,31.2787717,0,0.4,68.3
-86.1446966,31.2786483,3.5,1,67.7
-86.144715,31.2786467,4.2,5.3,67.7
-86.1447266,31.2786483,4,3.6,67.6
-86.1447316,31.27865,4.8,3.7,67.6
-86.1447433,31.27865,5.6,4.2,67.6
-86.144765,31.27865,5.2,4.7,67.5
-86.144795,31.2786517,4.2,4.7,67.4
-86.1448283,31.2786533,4.5,4.9,67.4
-86.1448633,31.278655,4.3,4.8,67.6
-86.1449,31.2786567,4.5,4.6,67.7
-86.1449383,31.27866,4.8,4.7,67.7
-86.1449766,31.2786633,4.7,4.3,67.8
-86.145015,31.2786683,5.1,4.6,67.8
-86.145055,31.2786717,4.4,4.2,67.8
-86.1453016,31.278685,4.2,3.9,68.6
-86.1453466,31.2786899,6.1,4.6,68.7
-86.14539,31.2786917,5.5,5.3,68.8
-86.1454333,31.278695,4.8,4.8,69.1
-86.1454766,31.2786983,4.4,4.3,69.3
-86.1455183,31.2787016,4.6,4.1,69.5
-86.1458749,31.2787317,4.3,3.6,70.6
-86.1459133,31.2787333,3.5,3.6,70.8
-86.1461183,31.2787451,6.6,5.3,72.4
-86.146155,31.2787483,7.5,5.8,72.6
-86.1461933,31.2787517,6.9,5.5,72.7
-86.1462299,31.2787533,7.2,5.4,72.8
-86.146265,31.278755,5.4,4.3,72.8
-86.1462983,31.2787583,7.6,5.1,73
-86.1463333,31.2787617,4.4,4.5,73.2
-86.1463666,31.278765,5.3,4.4,73.6
-86.1464016,31.2787683,0.2,-5,73.8
-86.1464683,31.27877,5.3,-4,74.7
-86.1465033,31.2787717,5.9,4.5,75.2
-86.1465383,31.2787733,6.1,4.9,75.3
-86.1465733,31.278775,5.8,5.2,75.1
-86.1466083,31.2787783,6.7,-4,75.1
-86.1466416,31.2787817,5.7,4.8,75.3
-86.1466733,31.278785,4.5,4.2,75.5
-86.1467066,31.2787883,4.3,3.4,75.8
-86.14674,31.2787917,4.5,3.8,76.1
-86.1467733,31.2787933,5.5,4,76.4
-86.1468066,31.2787966,5.4,4.5,76.4
-86.1468383,31.2788016,6.1,5.6,76.2
-86.1468683,31.2788033,3.9,4,76.1
-86.1468916,31.278805,4.7,4.1,76.2
-86.1469083,31.2788066,3.6,3,76.3
-86.14692,31.2788083,2.2,2.6,76.3
-86.1469299,31.2788083,2,2.6,76.3
-86.1469366,31.2788066,1.7,0.3,76.4
-86.1469283,31.2786816,4.8,-4,75.1
-86.1469216,31.27868,5,4.3,75.1
-86.1469166,31.2786783,6.4,5.2,75.1
-86.1468816,31.2786733,6,4.4,75.2
-86.1468183,31.2786666,5.4,5.2,75.1
-86.146785,31.278665,6.3,6,75
-86.1467483,31.2786617,6.4,5,74.8
-86.1467133,31.2786583,8.5,6,74.5
-86.1466783,31.278655,7.9,5.6,74.3
-86.146645,31.2786533,7.5,5.2,74.2
-86.1465333,31.278645,5.9,4.1,73.6
-86.1464966,31.2786433,6.1,4.5,73.3
-86.1464583,31.2786417,6.6,5.2,73.1
-86.146385,31.2786333,7.1,4.8,72.5
-86.14631,31.27863,8.1,5.6,72.1
-86.1462716,31.2786283,6.7,4.7,72.1
-86.1461583,31.2786183,4.1,3.6,71.7
-86.1461166,31.278615,4.1,3.7,71.4
-86.146075,31.2786117,4.6,4.2,71.1
-86.1456666,31.2785833,6.2,4.7,69.9
-86.1456216,31.27858,5.7,4.4,69.6
-86.1454066,31.2785633,5,4.3,68.3
-86.145365,31.27856,4.6,4.2,68
-86.145325,31.2785567,4.7,4.4,67.9
-86.1452866,31.2785533,5.5,5.4,67.8
-86.1452483,31.2785516,5.9,5.1,67.7
-86.1452133,31.27855,4.9,4.5,67.7
-86.1448616,31.2785217,3,3.2,66.8
-86.1447549,31.278515,2.7,2.8,66
-86.1447166,31.27851,2.8,3,65.8
-86.1447066,31.2785066,2.8,3.2,65.6
-86.1446983,31.278505,3,2.9,65.5
-86.1446933,31.27838,1.4,1.2,65.4
-86.14471,31.2783783,1.7,1.5,65.5
-86.144725,31.2783767,1.4,1.5,65.4
-86.1447366,31.278375,1.6,1.6,65.3
-86.14475,31.278375,1.7,1.8,65.3
-86.1447716,31.2783767,1.9,-4,65.3
