 gaue,Y,ec
23.86412243,37.98676091,46
23.86412195,37.98676008,45.38
23.86412148,37.98675926,46.88
23.86412101,37.98675843,48.13
23.86412047,37.98675749,48
23.86412,37.98675667,49.5
23.86411492,37.9867432,54.75
23.86411433,37.98674226,55.13
23.86411374,37.98674131,56.25
23.86411315,37.98674037,56.63
23.86411256,37.98673943,55.25
23.86411197,37.98673848,55.25
23.8641113,37.98673741,54.75
23.86411071,37.98673646,54.63
23.86411012,37.98673552,54.5
23.86410953,37.98673458,54.88
23.86410894,37.98673364,54.38
23.86410827,37.98673256,54.13
23.86410768,37.98673162,53.63
23.86410709,37.98673067,53.63
23.86408733,37.98670033,38.5
23.86408675,37.98669931,38.13
23.86408617,37.98669829,38.5
23.86408558,37.98669727,38.88
23.86408492,37.9866961,38.25
23.86408433,37.98669508,38.5
23.86408375,37.98669406,39.38
23.86406951,37.98666123,38.13
23.86406897,37.98666029,37.13
23.8640685,37.98665946,37.63
23.86406803,37.98665864,38.13
23.86406756,37.98665781,37.63
23.86406709,37.98665699,38.63
23.86406662,37.98665616,37.88
23.86406608,37.98665522,38.5
23.86406561,37.98665439,39.25
23.86406514,37.98665357,38.25
23.86404195,37.98661454,55.75
23.8640413,37.98661302,55.88
23.86404055,37.9866113,58.13
23.8640332,37.98659802,61
23.86403272,37.98659694,60.25
23.86403223,37.98659586,61.63
23.86403175,37.98659478,61.25
23.86403127,37.98659369,60.38
23.86403079,37.98659261,60.63
23.86403024,37.98659137,61
23.86402976,37.98659029,60.75
23.86402928,37.98658921,62
23.8640288,37.98658813,61.75
23.86402832,37.98658704,61.88
23.86402784,37.98658596,62.13
23.86402728,37.98658473,63.13
23.8640268,37.98658364,62.63
23.86401125,37.98654427,65.75
23.86400942,37.98654106,66.38
23.86400883,37.98654004,63.75
23.86400825,37.98653902,65.63
23.86400767,37.986538,66.25
23.86400708,37.98653698,66.13
23.8640065,37.98653596,65.38
23.86400583,37.98653479,64.75
23.86400525,37.98653377,64.88
23.8639888,37.98650375,66.75
23.86398813,37.98650268,65.75
23.86398754,37.98650173,64.5
23.86398695,37.98650079,65.63
23.86398636,37.98649985,65.13
23.86398578,37.98649891,65.88
23.86398519,37.98649796,66.63
23.86398451,37.98649689,67.13
23.86398392,37.98649594,66.63
23.86396167,37.98645033,63.5
23.86396094,37.98644931,63.75
23.86396021,37.98644829,63.88
23.86395948,37.98644727,63.75
23.86395875,37.98644625,62.63
23.86395792,37.98644508,62.63
23.86395719,37.98644406,64.25
23.8639483,37.98641561,60.38
23.86394866,37.98641502,59.75
23.86394907,37.98641434,59.5
23.86394942,37.98641374,59.5
23.86394978,37.98641315,60.25
23.86395014,37.98641255,61
23.86395049,37.98641196,61.25
23.8639509,37.98641128,62
23.86395126,37.98641068,61
23.86399248,37.98640643,64.5
23.86399344,37.9864081,65.13
23.86399452,37.98641,65
23.86399548,37.98641167,65.5
23.86399643,37.98641333,64.38
23.86399738,37.986415,64
23.86403208,37.98647917,65.38
23.86403383,37.98648267,63.88
23.8640345,37.986484,62.63
23.86403508,37.98648517,62.5
23.86403567,37.98648633,62.25
23.86403625,37.9864875,63.75
23.86403683,37.98648867,62.5
23.8640375,37.98649,62.38
23.86403808,37.98649117,62.88
23.86404684,37.98651559,62.38
23.86404758,37.98651818,62.5
23.86404781,37.98651901,63.88
23.86404805,37.98651983,64.63
23.86404828,37.98652066,64
23.86404855,37.9865216,64.5
23.86404879,37.98652242,63.5
23.86404902,37.98652325,65.25
23.86404926,37.98652407,65
23.8640495,37.9865249,64.63
23.86404977,37.98652584,65.13
23.86405,37.98652667,61.75
23.8640673,37.98655605,60.5
23.86406863,37.98655827,58.88
23.86406907,37.98655901,57.5
23.86406958,37.98655985,56.63
23.86407002,37.98656059,57.13
23.86407046,37.98656133,55.88
23.86407091,37.98656207,55.25
23.86407135,37.98656281,54.38
23.86407854,37.98658202,43.13
23.86407997,37.98658452,44.63
23.86408051,37.98658548,44.75
23.86408099,37.98658631,45.13
23.86408146,37.98658714,44.5
23.86408194,37.98658798,43.88
23.86408241,37.98658881,41.13
23.86408296,37.98658976,44
23.86408344,37.9865906,43.75
23.86408391,37.98659143,42.25
23.86408439,37.98659226,43.25
23.86410234,37.98661909,37.63
23.86410282,37.98661993,38.13
23.8641033,37.98662077,37.13
