X		 ,Y			,Z
650007.65,4347611.19,82.63
649985.17,4347610.76,83.88
650009.98,4347611.25,81.00
650001.44,4347611.10,85.75
649981.23,4347610.72,74.88
650001.97,4347611.20,84.38
649985.69,4347610.89,84.50
649985.22,4347610.90,85.38
649997.45,4347611.15,90.13
649990.29,4347611.01,85.88
649996.63,4347611.14,95.38
650007.73,4347611.35,83.50
649991.38,4347611.04,89.63
650010.07,4347611.45,83.25
650013.17,4347611.55,91.75
649985.28,4347611.05,85.13
649985.77,4347611.08,84.63
650007.80,4347611.51,83.25
650002.04,4347611.41,85.88
649990.38,4347611.20,84.88
649997.53,4347611.35,90.38
649991.47,4347611.25,90.38
649981.37,4347611.07,78.75
649996.85,4347611.37,91.88
650013.24,4347611.69,93.13
650010.16,4347611.65,82.13
649985.33,4347611.20,84.63
650001.65,4347611.52,84.75
650007.87,4347611.66,78.00
649985.84,4347611.26,86.38
650013.32,4347611.84,93.00
649990.47,4347611.41,84.13
650002.12,4347611.63,85.75
649991.56,4347611.43,90.00
649997.60,4347611.56,91.75
649981.45,4347611.25,81.25
650001.68,4347611.66,84.88
649985.39,4347611.36,85.00
650010.24,4347611.84,79.50
650007.95,4347611.82,84.75
649997.10,4347611.62,98.00
649985.91,4347611.43,88.00
650013.40,4347611.98,93.25
650001.70,4347611.79,85.63
649985.45,4347611.51,85.25
649997.67,4347611.75,93.00
649981.52,4347611.44,81.13
649990.57,4347611.61,83.25
649991.65,4347611.64,92.88
650002.21,4347611.86,85.88
650010.33,4347612.03,78.38
650013.47,4347612.12,94.25
650001.73,4347611.92,85.75
649986.02,4347611.63,86.63
649985.50,4347611.65,85.38
649997.35,4347611.88,99.00
649986.07,4347611.69,86.00
649981.60,4347611.62,81.25
649997.74,4347611.95,94.25
650008.10,4347612.15,85.13
650013.54,4347612.26,92.75
649990.67,4347611.82,85.25
649991.74,4347611.84,94.13
649986.12,4347611.75,85.00
650001.75,4347612.05,85.88
650010.41,4347612.23,83.25
650002.29,4347612.08,85.88
649986.16,4347611.81,84.38
649985.55,4347611.80,86.00
649977.82,4347611.70,53.13
649986.20,4347611.87,84.25
650001.78,4347612.17,86.00
650013.62,4347612.41,92.50
649981.68,4347611.81,79.63
650008.17,4347612.33,83.38
649997.60,4347612.13,100.75
649986.25,4347611.93,85.75
649990.76,4347612.03,88.88
649991.83,4347612.05,92.13
650010.49,4347612.42,83.00
649977.90,4347611.82,55.38
650002.37,4347612.30,88.00
649986.29,4347611.99,86.13
650001.81,4347612.30,87.63
650013.70,4347612.55,92.88
649986.34,4347612.05,84.25
649997.72,4347612.28,98.75
649981.75,4347611.99,81.25
650008.25,4347612.53,83.88
649985.67,4347612.11,88.88
649986.39,4347612.12,85.25
649977.99,4347611.97,59.63
649991.92,4347612.25,92.75
649990.86,4347612.24,87.50
650010.57,4347612.62,83.13
650013.77,4347612.69,89.13
649997.85,4347612.44,99.25
650002.45,4347612.52,85.88
649986.46,4347612.24,85.63
649998.01,4347612.46,94.50
649981.82,4347612.16,81.63
649978.08,4347612.11,62.38
649985.74,4347612.26,87.75
650008.33,4347612.71,82.25
650013.85,4347612.84,85.75
650010.65,4347612.81,82.50
649986.53,4347612.35,85.00
649990.94,4347612.44,89.00
649997.97,4347612.57,101.25
649992.01,4347612.47,93.38
649978.17,4347612.24,63.50
649998.10,4347612.64,92.75
649985.80,4347612.40,89.25
649981.89,4347612.35,82.00
650013.90,4347612.98,87.00
649986.59,4347612.47,86.13
650008.41,4347612.90,80.00
649998.09,4347612.72,101.25
649978.26,4347612.39,62.25
650010.73,4347613.01,81.88
649985.87,4347612.54,86.13
650001.93,4347612.85,86.38
649992.08,4347612.67,94.75
649991.02,4347612.66,88.75
649998.19,4347612.80,93.75
649986.66,4347612.58,87.75
650002.61,4347612.90,88.00
650013.95,4347613.13,88.63
649998.22,4347612.88,102.25
650008.48,4347613.09,83.75
649978.35,4347612.52,60.25
649986.73,4347612.70,87.38
649985.94,4347612.69,88.13
649998.27,4347612.97,92.00
650001.00,4347613.04,86.13
650010.82,4347613.22,82.50
650014.01,4347613.28,89.38
650002.70,4347613.09,89.00
649992.16,4347612.89,95.38
649991.11,4347612.88,90.25
649998.35,4347613.03,102.50
649986.80,4347612.82,88.63
649978.44,4347612.66,62.25
649982.04,4347612.76,83.63
649986.00,4347612.83,89.25
650008.56,4347613.29,84.38
650014.07,4347613.44,94.00
649998.36,4347613.14,93.13
649986.87,4347612.94,89.00
650010.89,4347613.40,81.25
650002.07,4347613.23,87.25
649998.47,4347613.17,102.00
649978.51,4347612.79,61.25
650002.78,4347613.28,89.50
649986.07,4347612.98,90.00
649991.20,4347613.10,92.38
649992.25,4347613.12,96.88
649986.94,4347613.05,89.38
649982.11,4347612.97,85.00
650008.64,4347613.48,82.88
650014.12,4347613.59,95.38
649978.58,4347612.93,62.13
649998.45,4347613.31,93.38
649998.60,4347613.32,102.63
650010.97,4347613.60,82.63
650002.14,4347613.43,86.63
649986.14,4347613.12,90.25
650002.87,4347613.48,90.13
650014.17,4347613.73,95.00
649978.65,4347613.06,61.63
649992.32,4347613.33,95.63
649991.29,4347613.32,95.25
650008.72,4347613.68,84.50
649982.17,4347613.17,85.25
649998.54,4347613.49,97.00
650002.21,4347613.63,86.13
650011.05,4347613.80,81.38
649978.72,4347613.18,61.38
650002.95,4347613.67,89.63
650014.23,4347613.89,97.13
649998.85,4347613.62,100.50
649987.13,4347613.41,92.75
649998.63,4347613.65,94.63
650008.80,4347613.85,84.38
649991.37,4347613.52,95.88
649992.41,4347613.56,95.13
649982.24,4347613.37,86.75
649978.78,4347613.31,63.63
650014.29,4347614.04,93.50
650002.29,4347613.83,86.63
650003.03,4347613.84,90.75
649998.91,4347613.79,99.38
650008.88,4347613.99,84.75
649986.34,4347613.56,92.88
649987.22,4347613.59,92.63
649998.72,4347613.82,96.25
649978.86,4347613.45,66.38
649991.46,4347613.74,96.88
649992.49,4347613.77,93.75
649982.31,4347613.58,89.25
650011.28,4347614.17,81.63
650008.96,4347614.14,84.25
650003.12,4347614.04,90.13
649978.93,4347613.58,68.50
649998.97,4347613.98,99.50
649987.32,4347613.77,91.75
649986.42,4347613.76,94.25
650014.40,4347614.36,95.75
650009.04,4347614.28,84.50
649978.00,4347613.71,68.63
649991.55,4347613.96,97.63
649982.38,4347613.79,90.25
649992.57,4347613.99,92.25
650011.41,4347614.36,81.00
650003.20,4347614.23,92.50
649975.76,4347613.70,51.38
649987.40,4347613.94,93.88
649999.03,4347614.16,100.50
649998.89,4347614.22,95.13
649986.51,4347613.98,94.88
650009.12,4347614.43,84.75
650014.47,4347614.55,95.75
650011.52,4347614.52,82.13
650002.48,4347614.37,86.38
649982.45,4347613.00,92.25
649992.65,4347614.21,94.38
649976.22,4347613.90,49.38
650003.29,4347614.42,92.38
649987.50,4347614.12,94.13
649979.13,4347613.97,68.38
649999.09,4347614.35,98.13
650009.19,4347614.56,85.75
649998.98,4347614.42,93.75
649975.89,4347613.98,52.88
650014.52,4347614.73,97.13
649986.60,4347614.20,96.63
650002.53,4347614.53,85.13
650011.64,4347614.71,82.25
649976.32,4347614.07,52.88
650009.27,4347614.70,85.63
649999.15,4347614.52,99.00
649982.52,4347614.21,92.25
649987.59,4347614.30,90.75
649991.71,4347614.39,92.00
649979.22,4347614.16,68.25
649999.06,4347614.60,93.13
650002.58,4347614.69,87.00
650014.59,4347614.93,94.75
649986.69,4347614.41,99.13
650011.76,4347614.89,83.88
650009.35,4347614.85,84.50
649976.02,4347614.25,54.63
649976.44,4347614.26,55.88
649987.69,4347614.48,93.63
649999.21,4347614.71,99.50
649992.79,4347614.60,93.50
649982.58,4347614.41,92.00
650003.44,4347614.82,95.88
649979.30,4347614.38,68.25
649991.80,4347614.62,92.25
650002.63,4347614.85,87.13
650009.44,4347614.99,85.75
649999.15,4347614.80,94.88
650014.65,4347615.12,94.50
650011.88,4347615.08,83.88
649986.78,4347614.63,95.13
649987.78,4347614.67,95.38
649976.55,4347614.46,58.50
649999.27,4347614.90,98.38
649992.86,4347614.79,93.25
649982.68,4347614.60,92.50
650002.68,4347615.00,87.38
650003.51,4347615.03,93.50
649979.39,4347614.59,67.00
649991.88,4347614.83,93.50
649976.15,4347614.53,56.88
649999.24,4347615.00,96.25
650012.00,4347615.26,84.00
650014.71,4347615.32,93.50
649987.87,4347614.84,95.38
650002.72,4347615.14,88.50
649999.33,4347615.08,96.63
649976.67,4347614.65,56.75
649986.87,4347614.85,96.88
649992.92,4347614.96,93.13
649982.78,4347614.81,92.50
650003.59,4347615.24,92.63
649972.74,4347614.67,29.38
649979.48,4347614.80,67.75
649991.96,4347615.06,95.25
650012.13,4347615.44,84.63
649999.33,4347615.20,95.13
650014.78,4347615.51,94.38
649987.95,4347615.02,97.63
650002.77,4347615.30,87.25
650009.68,4347615.44,85.13
649976.28,4347614.81,57.88
649999.39,4347615.27,99.13
649992.99,4347615.15,94.50
649976.78,4347614.84,57.50
649986.96,4347615.07,99.50
649982.88,4347615.02,92.50
650003.67,4347615.45,92.63
649972.75,4347614.86,32.13
649979.56,4347614.00,67.25
650014.84,4347615.70,92.38
649999.42,4347615.40,99.00
649992.04,4347615.27,94.88
649988.03,4347615.20,98.88
650009.79,4347615.63,84.00
649999.44,4347615.43,101.88
649976.89,4347615.02,57.38
649993.06,4347615.35,94.00
649976.40,4347615.07,57.88
649987.05,4347615.29,99.88
649982.98,4347615.22,94.13
650002.87,4347615.61,88.00
649972.76,4347615.05,33.13
650003.74,4347615.66,91.88
650012.31,4347615.84,83.50
649979.64,4347615.21,68.00
649999.50,4347615.60,102.63
649988.10,4347615.38,95.63
649999.51,4347615.60,100.25
650009.89,4347615.81,84.38
649992.12,4347615.49,96.00
649977.00,4347615.21,59.25
649993.14,4347615.54,94.63
650002.92,4347615.74,87.13
649987.12,4347615.47,101.63
649983.08,4347615.41,95.38
649972.77,4347615.23,36.25
650014.96,4347616.05,93.00
