Mark 21-0	2006	
 * LORIS Grid Values - Longitude	 Latitude numbers are [DD.dddd] degrees in WGS84 coordinates * 	
Longitude	 Latitude	 Value 
10.501.807	55.167.661	35.932.021
10.501.964	55.167.661	35.105.630
10.502.120	55.167.661	35.108.357
10.502.277	55.167.661	36.710.946
10.502.434	55.167.661	36.092.718
10.502.591	55.167.661	35.097.154
10.502.748	55.167.661	35.926.734
10.502.905	55.167.661	34.417.505
10.503.062	55.167.661	33.398.283
10.503.219	55.167.661	32.097.318
10.503.376	55.167.661	31.386.862
10.503.533	55.167.661	30.890.641
10.503.690	55.167.661	28.879.299
10.503.847	55.167.661	29.094.610
10.504.004	55.167.661	28.524.994
10.504.161	55.167.661	27.342.601
10.504.317	55.167.661	25.780.456
10.504.474	55.167.661	18.436.589
10.504.631	55.167.661	19.341.701
10.498.511	55.167.751	19.675.694
10.498.668	55.167.751	20.136.153
10.498.825	55.167.751	19.096.895
10.498.982	55.167.751	16.210.458
10.499.139	55.167.751	23.571.309
10.499.296	55.167.751	26.168.606
10.499.453	55.167.751	28.001.532
10.499.610	55.167.751	29.883.733
10.499.766	55.167.751	33.569.395
10.499.923	55.167.751	32.629.495
10.500.080	55.167.751	31.181.812
10.500.237	55.167.751	30.411.080
10.500.394	55.167.751	30.029.313
10.500.551	55.167.751	29.582.705
10.500.708	55.167.751	27.268.971
10.500.865	55.167.751	28.115.567
10.501.022	55.167.751	30.995.178
10.501.179	55.167.751	32.932.914
10.501.336	55.167.751	34.695.502
10.501.493	55.167.751	38.083.460
10.501.650	55.167.751	35.886.028
10.501.807	55.167.751	36.520.921
10.501.964	55.167.751	35.370.263
10.502.120	55.167.751	35.231.815
10.502.277	55.167.751	37.996.011
10.502.434	55.167.751	41.312.581
10.502.591	55.167.751	36.366.959
10.502.748	55.167.751	34.519.826
10.502.905	55.167.751	34.279.422
10.503.062	55.167.751	34.765.675
10.503.219	55.167.751	32.944.910
10.503.376	55.167.751	31.327.616
10.503.533	55.167.751	30.629.745
10.503.690	55.167.751	29.781.863
10.503.847	55.167.751	29.111.026
10.504.004	55.167.751	28.130.258
10.504.161	55.167.751	24.740.782
10.504.317	55.167.751	23.449.134
10.504.474	55.167.751	25.859.708
10.504.631	55.167.751	26.450.593
10.504.788	55.167.751	27.257.606
10.498.354	55.167.841	20.510.569
10.498.511	55.167.841	18.346.874
10.498.668	55.167.841	18.175.821
10.498.825	55.167.841	21.688.116
10.498.982	55.167.841	23.754.336
10.499.139	55.167.841	25.589.179
10.499.296	55.167.841	27.907.675
10.499.453	55.167.841	30.010.046
10.499.610	55.167.841	30.395.541
10.499.766	55.167.841	29.579.821
10.499.923	55.167.841	29.697.487
10.500.080	55.167.841	30.426.464
10.500.237	55.167.841	30.049.902
10.500.394	55.167.841	33.151.736
10.500.551	55.167.841	31.461.483
10.500.708	55.167.841	30.410.842
10.500.865	55.167.841	30.096.850
10.501.022	55.167.841	31.134.211
10.501.179	55.167.841	35.209.691
10.501.336	55.167.841	37.132.311
10.501.493	55.167.841	35.016.407
10.501.650	55.167.841	33.812.963
10.501.807	55.167.841	35.235.246
10.501.964	55.167.841	37.578.650
10.502.120	55.167.841	35.327.568
10.502.277	55.167.841	36.167.530
10.502.434	55.167.841	35.288.336
10.502.591	55.167.841	34.707.499
10.502.748	55.167.841	34.913.260
10.502.905	55.167.841	36.819.107
10.503.062	55.167.841	33.392.400
10.503.219	55.167.841	32.140.940
10.503.376	55.167.841	31.303.108
10.503.533	55.167.841	30.844.300
10.503.690	55.167.841	30.744.464
10.503.847	55.167.841	29.001.065
10.504.004	55.167.841	27.817.412
10.504.161	55.167.841	27.110.979
10.504.317	55.167.841	26.443.813
10.504.474	55.167.841	25.420.000
10.504.631	55.167.841	26.737.945
10.504.788	55.167.841	29.167.176
10.498.197	55.167.931	22.381.219
10.498.354	55.167.931	20.843.620
10.498.511	55.167.931	20.548.802
10.498.668	55.167.931	21.158.865
10.498.825	55.167.931	23.858.068
10.498.982	55.167.931	28.679.970
10.499.139	55.167.931	32.115.306
10.499.296	55.167.931	30.282.931
10.499.453	55.167.931	30.019.198
10.499.610	55.167.931	30.253.070
10.499.766	55.167.931	28.495.683
10.499.923	55.167.931	21.289.915
10.500.080	55.167.931	31.281.929
10.500.237	55.167.931	30.957.880
10.500.394	55.167.931	31.700.367
10.500.551	55.167.931	32.030.294
10.500.708	55.167.931	29.218.663
10.500.865	55.167.931	28.807.188
10.501.022	55.167.931	29.649.039
10.501.179	55.167.931	31.575.713
10.501.336	55.167.931	33.343.922
10.501.493	55.167.931	34.562.633
10.501.650	55.167.931	29.672.596
10.501.807	55.167.931	30.087.370
10.501.964	55.167.931	31.166.631
10.502.120	55.167.931	33.219.662
10.502.277	55.167.931	35.177.672
10.502.434	55.167.931	36.848.763
10.502.591	55.167.931	35.469.418
10.502.748	55.167.931	31.465.238
10.502.905	55.167.931	30.896.277
10.503.062	55.167.931	31.554.605
10.503.219	55.167.931	32.240.702
10.503.376	55.167.931	32.477.085
10.503.533	55.167.931	30.421.183
10.503.690	55.167.931	29.709.441
10.503.847	55.167.931	28.658.357
10.504.004	55.167.931	27.148.245
10.504.161	55.167.931	26.193.618
10.504.317	55.167.931	27.091.511
10.504.474	55.167.931	27.097.504
10.504.631	55.167.931	27.273.547
10.504.788	55.167.931	27.818.840
10.504.945	55.167.931	28.023.355
10.498.197	55.168.021	22.704.356
10.498.354	55.168.021	21.201.457
10.498.511	55.168.021	22.896.909
10.498.668	55.168.021	25.957.792
10.498.825	55.168.021	28.402.151
10.498.982	55.168.021	30.067.855
10.499.139	55.168.021	29.975.414
10.499.296	55.168.021	31.697.241
